Member_number,Date,itemDescription
3898,21-08-2015,Cavin's Lassi
1761,02-10-2015,Cavin's Chocolate Milkshake 
2689,11-01-2015,Cavin's Stawberry Lassi
1627,11-04-2015,Cavin's Kaju Butterscotch Milkshake
4629,16-11-2015,Bhima- Cut Mango
2790,30-12-2015,Cavin’s Cold Coffee-Chilled Latte
4496,23-01-2015,Cavin’s Mango Lassi
1934,27-02-2015,Cavin's Stawberry Lassi
2513,12-02-2015,Cavin's Vanilla Milshake
3298,28-01-2015,Cavin's Buttermilk
4214,20-03-2015,Cavin's Lassi
2480,14-08-2015,Cavin's Chocolate Milkshake 
4962,29-03-2015,Cavin's Stawberry Lassi
3960,20-06-2015,Cavin's Kaju Butterscotch Milkshake
2074,23-01-2015,Bhima- Cut Mango
2625,03-10-2015,Bhima- Mixed Veg
1557,04-08-2015,Bhima- Lime
2007,28-08-2015,Bhima- Mango Thokku
2120,07-10-2015,Bhima- Red Chilli
4289,08-09-2015,Roasted Nylon Chivda
2356,31-01-2015,Khatta Meetha
4301,30-09-2015,Moong Dal
2950,07-02-2015,Manglori Mixture
2263,02-07-2015,Garden French Fries
3186,25-11-2015,Garden Instant bhel mix
2655,01-07-2015,Garden Bombay Puri
1491,18-06-2015,Garden Potato Chip
2069,10-02-2015,Ruchi- Maharastra Mango Pickle
3012,20-09-2015,Ruchi- Maharastra lime Pickle
2681,24-02-2015,Ruchi - Andhra Tomato
4144,06-11-2015,Ruchi- Brinjal
3919,07-10-2015,Ruchi- Red Chilli
2777,01-06-2015,Ruchi- Tomato Garlic
4119,09-05-2015,Ruchi- Vadu Mango
3597,23-06-2015,Chik - Long & Healthy Shampoo
2110,15-05-2015,Chik - Hairfall Prevent Shampoo
3523,19-04-2015,Chik - Thick & Glossy Shampoo
3364,14-09-2015,Chik - Anti Dandruff Shamphoo
3759,08-09-2015,Chik - Thick & Glossy Shampoo
4014,15-11-2015,Indica Easy Hair Colour
3140,27-08-2015,Indica Herbal Hair Colour
2787,24-06-2015,Indica Crème 
2525,16-11-2015,Indica Easy - Brown
2555,05-12-2015,Indica Herbal Hair Colour
2419,07-04-2015,Spinz Deo - Pristine Green
4257,21-08-2015,Spinz Deo - Blue Bounce
4267,16-06-2015,Spinz Deo - Yellow Blossom
2364,08-09-2015,Spinz Deo - Mystic White
4008,04-05-2015,Spinz Deo - Enchante
1231,28-06-2015,Spinz BB Cream
1651,06-05-2015,Spinz Talc - Exotic
1371,11-05-2015,Spinz BB Talc
2501,09-09-2015,Indica Crème 
1467,02-05-2015,Ruchi- Vadu Mango
1015,04-05-2015,Nyle Damage Repair
4697,10-02-2015,Nyle Anti- Dandruff
2727,30-09-2015,Nyle Dryness Hydration
3592,10-06-2015,Nyle Volume Enhance
1279,19-07-2015,Nyle Pollution Sheild
1708,02-04-2015,Nyle Damage Repair
2305,05-01-2015,Spinz BB Cream
3294,03-07-2015,Bhima- Mixed Veg
4147,16-09-2015,Bhima- Lime
3850,03-09-2015,Bhima- Mango Thokku
1624,22-12-2015,Bhima- Red Chilli
3023,06-05-2015,Roasted Nylon Chivda
2771,26-08-2015,Khatta Meetha
1144,01-04-2015,Bhima- Cut Mango
3938,18-05-2015,Cavin’s Cold Coffee-Chilled Latte
4180,07-09-2015,Cavin’s Mango Lassi
1053,09-07-2015,Cavin's Stawberry Lassi
2671,27-07-2015,Cavin's Vanilla Milshake
2001,09-09-2015,Cavin's Buttermilk
2095,29-09-2015,Cavin's Lassi
3245,08-12-2015,Cavin's Chocolate Milkshake 
4878,18-04-2015,Cavin's Stawberry Lassi
3489,09-03-2015,Cavin's Kaju Butterscotch Milkshake
3300,25-07-2015,Bhima- Cut Mango
3090,14-02-2015,Bhima- Mixed Veg
4441,18-02-2015,Bhima- Lime
1242,18-05-2015,Bhima- Mango Thokku
1190,11-06-2015,Bhima- Red Chilli
1983,06-07-2015,Roasted Nylon Chivda
1872,24-08-2015,Khatta Meetha
4291,09-12-2015,Moong Dal
4400,11-12-2015,Manglori Mixture
1628,05-02-2015,Garden French Fries
1345,21-03-2015,Garden Instant bhel mix
2732,02-04-2015,Garden Bombay Puri
3410,29-10-2015,Garden Potato Chip
1920,09-02-2015,Ruchi- Maharastra Mango Pickle
3241,20-09-2015,Ruchi- Maharastra lime Pickle
2962,26-04-2015,Bhima- Mixed Veg
2492,10-04-2015,Bhima- Lime
2416,05-11-2015,Bhima- Mango Thokku
1538,08-03-2015,Bhima- Red Chilli
3801,23-10-2015,Roasted Nylon Chivda
3202,29-09-2015,Khatta Meetha
4471,28-02-2015,Moong Dal
4939,14-10-2015,Manglori Mixture
2575,13-03-2015,Garden French Fries
4419,23-12-2015,Garden Instant bhel mix
4217,01-12-2015,Garden Bombay Puri
1968,10-01-2015,Garden Potato Chip
3084,12-08-2015,Ruchi- Maharastra Mango Pickle
4807,18-06-2015,Ruchi- Maharastra lime Pickle
4781,22-11-2015,Ruchi - Andhra Tomato
2432,06-10-2015,Ruchi- Brinjal
2951,05-09-2015,Ruchi- Red Chilli
1452,09-05-2015,Ruchi- Tomato Garlic
1603,23-07-2015,Ruchi- Vadu Mango
4727,21-11-2015,Chik - Long & Healthy Shampoo
4751,19-11-2015,Chik - Hairfall Prevent Shampoo
4296,24-01-2015,Chik - Thick & Glossy Shampoo
2555,11-11-2015,Chik - Anti Dandruff Shamphoo
1416,20-06-2015,Chik - Thick & Glossy Shampoo
1919,18-08-2015,Indica Easy Hair Colour
2069,02-07-2015,Indica Herbal Hair Colour
4509,23-07-2015,Indica Crème 
4864,22-07-2015,Indica Easy - Brown
1575,04-01-2015,Indica Herbal Hair Colour
2969,28-09-2015,Spinz Deo - Pristine Green
4301,20-12-2015,Spinz Deo - Blue Bounce
3855,02-12-2015,Spinz Deo - Y+B43:B61ellow Blossom
3202,16-04-2015,Spinz Deo - Mystic White
2167,14-03-2015,Spinz Deo - Enchante
4148,07-01-2015,Spinz BB Cream
2517,28-01-2015,Spinz Talc - Exotic
2840,24-03-2015,Spinz BB Talc
1212,19-06-2015,Indica Crème 
2735,01-06-2015,Ruchi- Vadu Mango
1212,31-07-2015,Nyle Damage Repair
1324,26-03-2015,Nyle Anti- Dandruff
2431,29-06-2015,Nyle Dryness Hydration
4526,08-06-2015,Nyle Volume Enhance
1662,12-06-2015,Nyle Pollution Sheild
3802,15-10-2015,Nyle Damage Repair
2532,08-01-2015,Spinz BB Cream
1316,26-03-2015,Spinz Talc - Exotic
2304,01-07-2015,Indica Easy - Brown
1955,13-02-2015,Chik - Thick & Glossy Shampoo
2243,31-01-2015,Maa Mango
3859,03-08-2015,Maa Apple
3156,02-08-2015,Maa - Mango
4605,23-10-2015,Maa Lemon
1864,27-09-2015,Maa Orange 
4102,13-05-2015,Maa Mango
4835,22-05-2015,Fremon
1668,14-03-2015,Joozy Cola
3130,02-05-2015,Runge
1110,20-11-2015,Chillout
2240,07-07-2015,Ruchi- Maharastra Mango Pickle
4647,17-02-2015,Bhima- Cut Mango
3872,07-02-2015,Cavin’s Mango Lassi
3184,24-10-2015,Cavin's Lassi
4623,08-07-2015,Chik - Anti Dandruff Shamphoo
2111,25-02-2015,Cavin's Buttermilk
3068,19-06-2015,Bhima- Cut Mango
4533,21-05-2015,Roasted Nylon Chivda
3926,30-06-2015,Moong Dal
1605,18-06-2015,Cavin's Buttermilk
4468,15-06-2015,Spinz Deo - Yellow Blossom
2041,24-09-2015,Bhima- Cut Mango
3835,11-05-2015,Bhima- Cut Mango
3601,03-02-2015,Manglori Mixture
2307,29-06-2015,Garden French Fries
1767,18-04-2015,Garden Instant bhel mix
4251,21-12-2015,Cavin's Kaju Butterscotch Milkshake
1365,02-11-2015,Bhima- Cut Mango
1665,11-04-2015,Bhima- Mixed Veg
2447,25-06-2015,Cavin's Lassi
4825,05-09-2015,Cavin's Stawberry Lassi
4844,23-02-2015,Cavin's Vanilla Milshake
3319,03-03-2015,Cavin's Buttermilk
2536,07-11-2015,Cavin's Lassi
1857,10-08-2015,Cavin's Chocolate Milkshake 
4133,27-07-2015,Cavin's Stawberry Lassi
2128,20-06-2015,Cavin's Kaju Butterscotch Milkshake
1793,24-09-2015,Bhima- Cut Mango
3445,15-02-2015,Bhima- Mixed Veg
2041,17-07-2015,Bhima- Lime
1178,23-03-2015,Bhima- Mango Thokku
2080,21-04-2015,Cocoma
1928,17-09-2015,Spinz Deo - Enchante
2884,08-05-2015,Spinz BB Cream
3532,25-01-2015,Spinz Talc - Exotic
1892,20-11-2015,Spinz BB Talc
2880,03-11-2015,Indica Crème 
2033,14-02-2015,Ruchi- Vadu Mango
3176,17-01-2015,Nyle Damage Repair
3768,16-01-2015,Nyle Anti- Dandruff
3404,07-12-2015,Nyle Dryness Hydration
3891,22-11-2015,Spinz Perfumed Deo - Pristine Green 200 ml
2974,26-12-2015,Spinz Perfumed Deo - Pristine Green 200 ml
3831,07-03-2015,Spinz Perfumed Deo - Pristine Green 200 ml
1924,02-03-2015,Spinz Perfumed Deo - Pristine Green 200 ml
4182,21-08-2015,Spinz Perfumed Deo - Pristine Green 200 ml
1811,24-05-2015,Spinz Perfumed Deo - Pristine Green 200 ml
1283,13-11-2015,Nyle Volume Enhance Shampoo Btl 800 ml
2154,15-03-2015,Nyle Volume Enhance Shampoo Btl 800 ml
4543,23-10-2015,Nyle Volume Enhance Shampoo Btl 800 ml
4642,03-12-2015,Nyle Volume Enhance Shampoo Btl 800 ml
2360,18-02-2015,Nyle Volume Enhance Shampoo Btl 800 ml
3231,31-03-2015,Nyle Volume Enhance Shampoo Btl 800 ml
1356,08-09-2015,Nyle Volume Enhance Shampoo Btl 800 ml
4895,10-08-2015,Nyle Volume Enhance Shampoo Btl 800 ml
3390,01-12-2015,Nyle Damage Repair Shampoo Btl 800 ml
4495,06-03-2015,Nyle Damage Repair Shampoo Btl 800 ml
1202,22-04-2015,Nyle Damage Repair Shampoo Btl 800 ml
1811,23-09-2015,Nyle Damage Repair Shampoo Btl 800 ml
4996,20-02-2015,Nyle Damage Repair Shampoo Btl 800 ml
3291,02-08-2015,Nyle Damage Repair Shampoo Btl 800 ml
1878,27-11-2015,Nyle Damage Repair Shampoo Btl 800 ml
1483,27-06-2015,Nyle Damage Repair Shampoo Btl 800 ml
4683,23-09-2015,Meera Advanced Herbal Hairwash Powder - Refill Pack 80 gm
4386,08-09-2015,Meera Advanced Herbal Hairwash Powder - Refill Pack 80 gm
4825,15-11-2015,Meera Advanced Herbal Hairwash Powder - Refill Pack 80 gm
2549,13-05-2015,Meera Advanced Herbal Hairwash Powder - Refill Pack 80 gm
4965,11-10-2015,Meera Advanced Herbal Hairwash Powder - Refill Pack 80 gm
3251,10-09-2015,Chik Shampoo (200 ml)
4932,20-11-2015,Chik Shampoo (200 ml)
3986,23-07-2015,Chik Shampoo (200 ml)
1616,19-01-2015,Chik Shampoo (200 ml)
1239,02-07-2015,Chik Shampoo (200 ml)
4993,09-02-2015,Chik Shampoo (200 ml)
2762,18-12-2015,Chik Shampoo (200 ml)
1035,08-09-2015,Indica Herbal Hair Color
4717,16-05-2015,Indica Herbal Hair Color
4662,17-11-2015,Indica Herbal Hair Color
4267,10-10-2015,Indica Herbal Hair Color
3500,18-01-2015,Indica Herbal Hair Color
4866,21-08-2015,Indica Herbal Hair Color
2492,18-06-2015,Indica Herbal Hair Color
1044,09-02-2015,Indica Herbal Hair Color
2070,19-12-2015,Indica Herbal Hair Color
3761,06-08-2015,Cavin's Lassi
1145,07-10-2015,Cavin's Lassi
3324,06-06-2015,Cavin's Lassi
4455,26-12-2015,Cavin's Lassi
3465,30-07-2015,Cavin's Lassi
3940,16-01-2015,Cavin's Lassi
4934,31-10-2015,Cavin's Lassi
3793,22-01-2015,Cavin's Lassi
2956,02-12-2015,Spinz BB Cream
3662,20-07-2015,Spinz Talc - Exotic
3755,14-04-2015,Indica Easy - Brown
4173,11-05-2015,Chik - Thick & Glossy Shampoo
3353,06-03-2015,Maa Mango
2193,03-09-2015,Maa Apple
2086,02-06-2015,Maa - Mango
1570,20-03-2015,Maa Lemon
1233,31-07-2015,Maa Orange 
4647,30-01-2015,Maa Mango
3178,03-01-2015,Fremon
2765,04-09-2015,Joozy Cola
4221,04-01-2015,Runge
4265,12-12-2015,Chillout
3532,26-05-2015,Ruchi- Maharastra Mango Pickle
1967,03-09-2015,Bhima- Cut Mango
3474,25-02-2015,Cavin’s Mango Lassi
4075,05-01-2015,Cavin's Lassi
1551,11-05-2015,Chik - Anti Dandruff Shamphoo
4609,07-11-2015,Cavin’s Cold coffee
1975,26-09-2015,Cavin’s Mango Lassi
4859,09-09-2015,Cavin's Stawberry Lassi
1502,31-10-2015,Cavin's Vanilla Milshake
1901,21-04-2015,Cavin's Buttermilk
4487,20-07-2015,Cavin's Lassi
3364,29-06-2015,Cavin's Chocolate Milkshake 
2537,14-10-2015,Cavin's Stawberry Lassi
4719,22-08-2015,Cavin's Kaju Butterscotch Milkshake
2348,11-12-2015,Bhima- Cut Mango
4294,03-12-2015,Bhima- Mixed Veg
3774,12-01-2015,Bhima- Lime
2250,15-10-2015,Bhima- Mango Thokku
3034,07-05-2015,Bhima- Red Chilli
1799,07-08-2015,Roasted Nylon Chivda
1278,07-11-2015,Khatta Meetha
2837,22-04-2015,Moong Dal
3056,15-08-2015,Manglori Mixture
2447,15-10-2015,Garden French Fries
1452,27-10-2015,Garden Instant bhel mix
4838,31-01-2015,Garden Bombay Puri
4822,04-07-2015,Garden Potato Chip
2571,02-05-2015,Ruchi- Maharastra Mango Pickle
4310,27-02-2015,Ruchi- Maharastra lime Pickle
2133,11-07-2015,Ruchi - Andhra Tomato
3568,17-10-2015,Ruchi- Brinjal
4474,10-11-2015,Ruchi- Red Chilli
3354,27-01-2015,Ruchi- Tomato Garlic
2389,04-06-2015,Ruchi- Vadu Mango
1742,05-07-2015,Chik - Long & Healthy Shampoo
2574,18-05-2015,Chik - Hairfall Prevent Shampoo
4498,07-04-2015,Chik - Thick & Glossy Shampoo
4612,30-04-2015,Chik - Anti Dandruff Shamphoo
1075,29-01-2015,Chik - Thick & Glossy Shampoo
1371,22-01-2015,Indica Easy Hair Colour
2960,21-06-2015,Indica Herbal Hair Colour
4434,23-02-2015,Indica Crème 
1378,12-10-2015,Indica Easy - Brown
1615,25-01-2015,Indica Herbal Hair Colour
2503,08-02-2015,Spinz Deo - Pristine Green
2381,01-04-2015,Spinz Deo - Blue Bounce
1613,25-08-2015,Spinz Deo - Y+B43:B61ellow Blossom
1031,26-08-2015,Spinz Deo - Mystic White
3200,01-04-2015,Spinz Deo - Enchante
1138,24-02-2015,Spinz BB Cream
4958,24-05-2015,Spinz Talc - Exotic
4858,15-02-2015,Spinz BB Talc
1616,08-12-2015,Indica Crème 
1270,03-02-2015,Ruchi- Vadu Mango
2347,27-01-2015,Nyle Damage Repair
2076,04-12-2015,Nyle Anti- Dandruff
3597,07-07-2015,Nyle Dryness Hydration
2151,29-09-2015,Nyle Volume Enhance
2940,07-11-2015,Nyle Pollution Sheild
3475,14-12-2015,Nyle Damage Repair
2715,15-03-2015,Spinz BB Cream
3644,02-10-2015,Spinz Talc - Exotic
4573,25-01-2015,Indica Easy - Brown
1649,29-11-2015,Chik - Thick & Glossy Shampoo
4079,17-08-2015,Maa Mango
1844,13-11-2015,Maa Apple
1420,08-12-2015,Maa - Mango
2879,23-07-2015,Maa Lemon
2440,08-06-2015,Maa Orange 
4095,29-12-2015,Maa Mango
2437,15-11-2015,Fremon
1324,24-01-2015,Joozy Cola
4184,15-12-2015,Runge
4574,03-10-2015,Chillout
4881,26-03-2015,Ruchi- Maharastra Mango Pickle
3790,04-08-2015,Bhima- Cut Mango
2616,17-03-2015,Cavin’s Mango Lassi
1275,04-06-2015,Cavin's Lassi
2131,15-04-2015,Chik - Anti Dandruff Shamphoo
2509,03-02-2015,Cavin's Buttermilk
3077,31-08-2015,Bhima- Cut Mango
3653,12-09-2015,Roasted Nylon Chivda
2922,26-12-2015,Moong Dal
2971,27-01-2015,Cavin's Buttermilk
1463,28-09-2015,Spinz Deo - Yellow Blossom
4323,11-10-2015,Bhima- Cut Mango
2632,01-07-2015,Bhima- Cut Mango
1481,04-06-2015,Manglori Mixture
1283,06-03-2015,Garden French Fries
1164,01-02-2015,Garden Instant bhel mix
4275,11-09-2015,Cavin's Kaju Butterscotch Milkshake
2600,18-02-2015,Bhima- Cut Mango
2084,15-08-2015,Bhima- Mixed Veg
1621,20-02-2015,Cavin's Lassi
1291,06-03-2015,Cavin's Stawberry Lassi
3301,25-04-2015,Cavin's Vanilla Milshake
2715,08-01-2015,Cavin's Buttermilk
4150,26-08-2015,Cavin's Lassi
1775,11-10-2015,Cavin's Chocolate Milkshake 
2073,04-02-2015,Cavin's Stawberry Lassi
1912,22-08-2015,Cavin's Kaju Butterscotch Milkshake
4033,06-06-2015,Bhima- Cut Mango
4877,28-02-2015,Bhima- Mixed Veg
2590,28-09-2015,Bhima- Lime
3982,28-01-2015,Bhima- Mango Thokku
2782,09-06-2015,Cocoma
2100,27-01-2015,Spinz Deo - Enchante
1785,21-12-2015,Spinz BB Cream
3166,28-04-2015,Spinz Talc - Exotic
2251,29-03-2015,Spinz BB Talc
1528,20-02-2015,Indica Crème 
2012,29-03-2015,Ruchi- Vadu Mango
3309,28-10-2015,Nyle Damage Repair
1220,08-09-2015,Nyle Anti- Dandruff
2165,17-06-2015,Nyle Dryness Hydration
3337,01-02-2015,Cavin's Chocolate Milkshake 
4058,30-12-2015,Cavin's Stawberry Lassi
1000,27-05-2015,Cavin's Kaju Butterscotch Milkshake
3357,08-06-2015,Bhima- Cut Mango
2222,08-01-2015,Bhima- Mixed Veg
1207,14-11-2015,Bhima- Lime
3511,07-06-2015,Bhima- Mango Thokku
2171,02-08-2015,Bhima- Red Chilli
3078,01-09-2015,Roasted Nylon Chivda
3879,25-06-2015,Khatta Meetha
3472,06-02-2015,Moong Dal
4519,03-11-2015,Manglori Mixture
3275,26-10-2015,Bhima- Mixed Veg
1763,13-09-2015,Bhima- Lime
4619,27-05-2015,Bhima- Mango Thokku
2955,05-06-2015,Bhima- Red Chilli
2700,15-11-2015,Roasted Nylon Chivda
2830,28-05-2015,Khatta Meetha
4940,21-08-2015,Moong Dal
1311,29-06-2015,Manglori Mixture
4116,01-05-2015,Garden French Fries
1476,22-03-2015,Garden Instant bhel mix
2918,04-11-2015,Garden Bombay Puri
4121,01-11-2015,Garden Potato Chip
1824,01-11-2015,Ruchi- Maharastra Mango Pickle
4293,05-07-2015,Ruchi- Maharastra lime Pickle
4308,05-12-2015,Ruchi - Andhra Tomato
2998,14-07-2015,Ruchi- Brinjal
2874,05-01-2015,Ruchi- Red Chilli
1281,11-02-2015,Ruchi- Tomato Garlic
3471,14-01-2015,Ruchi- Vadu Mango
1936,15-08-2015,Spinz Deo - Mystic White
4163,30-05-2015,Spinz Deo - Enchante
3369,29-12-2015,Spinz BB Cream
2335,13-01-2015,Spinz Talc - Exotic
3957,15-02-2015,Spinz BB Talc
4841,02-05-2015,Indica Crème 
2184,07-12-2015,Ruchi- Vadu Mango
3118,29-12-2015,Nyle Damage Repair
4728,25-04-2015,Nyle Anti- Dandruff
2527,11-08-2015,Nyle Dryness Hydration
2926,08-11-2015,Nyle Volume Enhance
1773,01-11-2015,Nyle Pollution Sheild
1801,12-06-2015,Nyle Damage Repair
1916,13-11-2015,Spinz BB Cream
2523,04-04-2015,Spinz Talc - Exotic
2550,08-06-2015,Indica Easy - Brown
1319,19-05-2015,Chik - Thick & Glossy Shampoo
1649,16-05-2015,Maa Mango
2202,07-08-2015,Maa Apple
2569,16-07-2015,Maa - Mango
2925,22-08-2015,Maa Lemon
2293,24-06-2015,Maa Orange 
2190,11-10-2015,Maa Mango
2234,24-12-2015,Fremon
4779,24-10-2015,Joozy Cola
3031,27-10-2015,Cavin’s Mango Lassi
4275,05-07-2015,Cavin's Stawberry Lassi
2696,09-05-2015,Cavin's Vanilla Milshake
4453,02-08-2015,Cavin's Buttermilk
4776,08-02-2015,Cavin's Lassi
3471,12-10-2015,Cavin's Chocolate Milkshake 
3143,21-01-2015,Cavin's Stawberry Lassi
4312,22-04-2015,Cavin's Kaju Butterscotch Milkshake
3327,04-05-2015,Bhima- Cut Mango
4344,06-05-2015,Bhima- Mixed Veg
1718,11-03-2015,Bhima- Lime
3041,10-07-2015,Bhima- Mango Thokku
4110,06-02-2015,Bhima- Red Chilli
2947,28-04-2015,Ruchi - Andhra Tomato
4280,06-12-2015,Ruchi- Brinjal
3022,15-11-2015,Ruchi- Red Chilli
1941,16-09-2015,Ruchi- Tomato Garlic
4494,06-08-2015,Ruchi- Vadu Mango
2749,22-06-2015,Ruchi- Vadu Mango
1241,22-05-2015,Nyle Damage Repair
2066,23-03-2015,Nyle Anti- Dandruff
1777,11-07-2015,Nyle Dryness Hydration
2178,03-05-2015,Nyle Volume Enhance
4727,11-04-2015,Nyle Pollution Sheild
3433,01-10-2015,Nyle Damage Repair
3035,08-11-2015,Spinz BB Cream
1464,07-03-2015,Spinz Talc - Exotic
4161,03-05-2015,Indica Easy - Brown
2654,25-11-2015,Chik - Thick & Glossy Shampoo
2206,21-03-2015,Maa Mango
3950,05-12-2015,Maa Apple
1706,07-03-2015,Maa - Mango
3726,26-05-2015,Maa Lemon
3325,29-11-2015,Maa Orange 
3732,29-11-2015,Maa Mango
2563,06-01-2015,Fremon
4924,01-03-2015,Joozy Cola
1742,12-12-2015,Runge
4929,27-07-2015,Chillout
1092,09-10-2015,Ruchi- Maharastra Mango Pickle
1907,19-07-2015,Bhima- Cut Mango
3540,05-03-2015,Cavin’s Mango Lassi
2990,11-07-2015,Cavin's Lassi
4088,05-03-2015,Cavin's Vanilla Milshake
2028,20-12-2015,Cavin's Buttermilk
3026,24-01-2015,Cavin's Lassi
2209,20-04-2015,Cavin's Chocolate Milkshake 
4071,15-10-2015,Cavin's Stawberry Lassi
4393,24-11-2015,Cavin's Kaju Butterscotch Milkshake
2047,08-05-2015,Bhima- Cut Mango
4610,19-07-2015,Bhima- Mixed Veg
1269,30-09-2015,Bhima- Lime
3629,11-01-2015,Bhima- Mango Thokku
1899,19-10-2015,Bhima- Red Chilli
1982,24-02-2015,Roasted Nylon Chivda
4977,19-04-2015,Khatta Meetha
2399,12-02-2015,Moong Dal
2675,15-09-2015,Manglori Mixture
2760,12-07-2015,Garden French Fries
2058,04-06-2015,Garden Instant bhel mix
4065,07-07-2015,Garden Bombay Puri
1450,16-11-2015,Garden Potato Chip
3739,06-08-2015,Ruchi- Maharastra Mango Pickle
3128,21-07-2015,Ruchi- Maharastra lime Pickle
2331,28-11-2015,Ruchi - Andhra Tomato
2505,10-10-2015,Ruchi- Brinjal
3758,13-01-2015,Ruchi- Red Chilli
3574,13-02-2015,Ruchi- Tomato Garlic
2563,29-12-2015,Ruchi- Vadu Mango
2128,09-07-2015,Chik - Long & Healthy Shampoo
1230,27-01-2015,Chik - Hairfall Prevent Shampoo
4373,12-08-2015,Chik - Thick & Glossy Shampoo
1693,05-09-2015,Chik - Anti Dandruff Shamphoo
2743,13-07-2015,Chik - Thick & Glossy Shampoo
1612,05-03-2015,Indica Easy Hair Colour
1835,22-06-2015,Indica Herbal Hair Colour
3574,08-05-2015,Indica Crème 
4102,08-04-2015,Indica Easy - Brown
1283,15-03-2015,Indica Herbal Hair Colour
4719,04-10-2015,Spinz Deo - Pristine Green
4596,05-06-2015,Spinz Deo - Blue Bounce
1380,13-05-2015,Spinz Deo - Y+B43:B61ellow Blossom
1150,04-12-2015,Spinz Deo - Mystic White
2937,20-06-2015,Spinz Deo - Enchante
2495,04-07-2015,Spinz BB Cream
3581,25-12-2015,Spinz Talc - Exotic
3458,27-04-2015,Spinz BB Talc
3723,14-03-2015,Indica Crème 
2249,22-01-2015,Ruchi- Vadu Mango
1430,17-12-2015,Nyle Damage Repair
3039,28-11-2015,Nyle Anti- Dandruff
3455,01-02-2015,Nyle Dryness Hydration
1831,09-01-2015,Nyle Volume Enhance
4831,27-02-2015,Nyle Pollution Sheild
3816,18-12-2015,Nyle Damage Repair
2314,06-09-2015,Spinz BB Cream
2743,24-03-2015,Spinz Talc - Exotic
1538,30-11-2015,Indica Easy - Brown
3604,15-04-2015,Chik - Thick & Glossy Shampoo
4734,22-11-2015,Maa Mango
2363,24-06-2015,Maa Apple
1484,27-08-2015,Maa - Mango
1764,29-09-2015,Maa Lemon
3595,23-03-2015,Maa Orange 
4303,25-12-2015,Maa Mango
2695,07-01-2015,Fremon
4538,28-11-2015,Joozy Cola
1979,21-11-2015,Runge
1148,27-09-2015,Chillout
3443,04-04-2015,Ruchi- Maharastra Mango Pickle
3334,17-03-2015,Bhima- Cut Mango
2508,06-10-2015,Cavin’s Mango Lassi
4136,11-08-2015,Cavin's Lassi
3599,25-05-2015,Chik - Anti Dandruff Shamphoo
4540,20-10-2015,Cavin's Buttermilk
2590,16-12-2015,Bhima- Cut Mango
3361,21-06-2015,Roasted Nylon Chivda
2855,08-11-2015,Moong Dal
3949,01-04-2015,Bhima- Red Chilli
4836,03-07-2015,Spinz Deo - Yellow Blossom
2464,13-05-2015,Bhima- Cut Mango
1788,09-10-2015,Bhima- Cut Mango
2061,05-04-2015,Manglori Mixture
1963,30-12-2015,Garden French Fries
1485,15-05-2015,Garden Instant bhel mix
1771,20-03-2015,Cavin's Kaju Butterscotch Milkshake
3758,04-09-2015,Bhima- Cut Mango
3180,04-05-2015,Bhima- Mixed Veg
2406,07-12-2015,Cavin's Lassi
2255,27-04-2015,Cavin's Stawberry Lassi
4826,25-01-2015,Cavin's Vanilla Milshake
1737,23-01-2015,Cavin's Buttermilk
2404,08-03-2015,Cavin's Lassi
3467,28-01-2015,Cavin's Chocolate Milkshake 
3395,19-08-2015,Cavin's Stawberry Lassi
3405,04-03-2015,Cavin's Kaju Butterscotch Milkshake
2718,23-03-2015,Bhima- Cut Mango
2927,03-02-2015,Bhima- Mixed Veg
4137,26-12-2015,Bhima- Lime
3282,22-06-2015,Bhima- Mango Thokku
4567,10-09-2015,Cocoma
4550,09-11-2015,Spinz Deo - Enchante
4223,03-10-2015,Spinz BB Cream
2363,25-10-2015,Spinz Talc - Exotic
4806,24-11-2015,Spinz BB Talc
1153,08-12-2015,Indica Crème 
4515,11-01-2015,Ruchi- Vadu Mango
3200,11-02-2015,Nyle Damage Repair
1012,03-10-2015,Nyle Anti- Dandruff
2585,14-03-2015,Nyle Dryness Hydration
2229,19-03-2015,Cavin's Chocolate Milkshake 
3406,23-10-2015,Cavin's Stawberry Lassi
2234,15-07-2015,Cavin's Kaju Butterscotch Milkshake
2549,14-06-2015,Bhima- Cut Mango
3385,16-02-2015,Bhima- Mixed Veg
1746,08-08-2015,Bhima- Lime
4632,09-03-2015,Bhima- Mango Thokku
1476,29-03-2015,Bhima- Red Chilli
4738,15-08-2015,Roasted Nylon Chivda
4235,26-04-2015,Khatta Meetha
3574,05-11-2015,Moong Dal
4614,23-02-2015,Manglori Mixture
2216,17-11-2015,Bhima- Mixed Veg
4425,17-10-2015,Bhima- Lime
4666,02-12-2015,Bhima- Mango Thokku
1148,09-07-2015,Bhima- Red Chilli
2351,06-01-2015,Spinz BB Cream
3543,17-05-2015,Spinz Talc - Exotic
2955,06-06-2015,Spinz BB Talc
2257,13-03-2015,Indica Crème 
2612,01-02-2015,Ruchi- Vadu Mango
3488,21-12-2015,Nyle Damage Repair
2021,12-01-2015,Nyle Anti- Dandruff
2186,01-09-2015,Nyle Dryness Hydration
1696,02-03-2015,Nyle Volume Enhance
3309,17-05-2015,Nyle Pollution Sheild
3092,24-12-2015,Nyle Damage Repair
4497,20-02-2015,Spinz BB Cream
1848,27-06-2015,Spinz Talc - Exotic
2466,27-07-2015,Indica Easy - Brown
